Dataset,Min_Loss,Max_AUCPR,Threshold,F1_Score,MCC,Bal_Acc,G_Mean,Precision,Recall
Training,0.4144,0.7588,0.8062,0.7186,0.6821,0.8372,0.8274,0.7281,0.7094
Validation,0.4025,0.6453,0.7131,0.623,0.5711,0.7896,0.774,0.6129,0.6333
