Dataset,Min_Loss,Max_AUCPR,Threshold,F1_Score,MCC,Bal_Acc,G_Mean,Precision,Recall
Training,0.134,0.9905,0.13,0.9686,0.9246,0.9624,0.9624,0.969,0.9683
Validation,0.1601,0.9924,0.0272,0.9737,0.9358,0.9652,0.965,0.9617,0.986
