Dataset,Min_Loss,Macro_AUROC,Macro_F1,Multiclass_MCC,Balanced_Accuracy,Macro_G_Mean,Macro_Precision,Macro_Recall
Training,0.8559,0.9431,0.6342,0.7322,0.7038,0.8254,0.6073,0.7038
Validation,0.5956,0.8815,0.4791,0.6943,0.5104,0.7013,0.4681,0.5104
