Dataset,Min_Loss,Max_AUCPR,Threshold,F1_Score,MCC,Bal_Acc,G_Mean,Precision,Recall
Training,0.1432,0.8457,0.7964,0.7378,0.7136,0.8855,0.882,0.6793,0.8074
Validation,0.1713,0.4544,0.6494,0.4419,0.4265,0.7847,0.77,0.3393,0.6333
