Dataset,Min_Loss,Max_AUCPR,Threshold,F1_Score,MCC,Bal_Acc,G_Mean,Precision,Recall
Training,0.2133,0.8869,0.8773,0.8599,0.8469,0.9424,0.9416,0.8201,0.9037
Validation,0.266,0.4503,0.9288,0.449,0.4392,0.6764,0.6013,0.5789,0.3667
