iter	Passed	Remaining
404	6987	10265
405	7002	10245
406	7017	10224
407	7032	10204
408	7047	10184
409	7062	10163
410	7077	10143
411	7092	10122
412	7107	10102
413	7123	10082
414	7138	10062
415	7154	10043
416	7169	10023
417	7184	10003
418	7199	9983
419	7214	9963
420	7229	9943
421	7245	9923
422	7260	9904
423	7275	9884
424	7290	9863
425	7305	9843
426	7320	9823
427	7335	9803
428	7350	9783
429	7365	9763
430	7380	9743
431	7395	9724
432	7410	9703
433	7425	9684
434	7440	9664
435	7456	9645
436	7470	9624
437	7485	9605
438	7500	9585
439	7515	9565
440	7530	9545
441	7546	9526
442	7561	9507
443	7576	9487
444	7591	9467
445	7606	9448
446	7621	9428
447	7636	9409
448	7652	9390
449	7667	9371
450	7682	9352
451	7697	9332
452	7713	9313
453	7727	9293
454	7743	9274
455	7758	9256
456	7775	9239
457	7791	9220
458	7806	9201
459	7821	9181
460	7837	9163
461	7852	9144
462	7867	9125
463	7883	9106
464	7898	9087
465	7913	9067
466	7928	9048
467	7943	9029
468	7958	9010
469	7973	8991
470	7988	8972
471	8003	8953
472	8018	8933
473	8033	8914
474	8048	8896
475	8064	8877
476	8079	8858
477	8095	8840
478	8112	8824
479	8128	8805
480	8143	8786
481	8157	8766
482	8172	8748
483	8189	8730
484	8204	8712
485	8219	8693
486	8235	8674
487	8251	8656
488	8266	8637
489	8281	8619
490	8295	8599
491	8310	8580
492	8325	8562
493	8341	8543
494	8356	8525
495	8370	8505
496	8385	8487
497	8401	8468
498	8416	8450
499	8432	8432
500	8449	8415
501	8464	8397
502	8479	8378
503	8494	8359
504	8508	8340
505	8524	8322
506	8539	8304
507	8555	8285
508	8570	8267
509	8586	8249
510	8600	8230
511	8616	8212
512	8631	8194
513	8647	8176
514	8665	8160
515	8683	8145
516	8699	8127
517	8713	8108
518	8729	8089
519	8744	8071
520	8759	8053
521	8774	8034
522	8789	8016
523	8806	7999
524	8822	7982
525	8837	7964
526	8852	7945
527	8867	7927
528	8882	7909
529	8897	7890
530	8912	7871
531	8927	7853
532	8942	7835
533	8958	7817
534	8973	7799
535	8987	7780
536	9002	7761
537	9017	7743
538	9032	7725
539	9047	7707
540	9062	7689
541	9077	7670
542	9093	7652
543	9107	7634
544	9122	7616
545	9137	7598
546	9152	7580
547	9167	7561
548	9183	7543
549	9198	7526
550	9214	7508
551	9229	7490
552	9244	7472
553	9260	7454
554	9275	7437
555	9290	7419
556	9305	7400
557	9320	7382
558	9335	7365
559	9351	7347
560	9367	7330
561	9382	7312
562	9397	7294
563	9412	7276
564	9427	7258
565	9442	7240
566	9457	7222
567	9473	7205
568	9488	7187
569	9503	7169
570	9519	7152
571	9535	7134
572	9550	7116
573	9565	7099
574	9581	7081
575	9596	7063
576	9611	7046
577	9626	7028
578	9641	7010
579	9657	6993
580	9673	6976
581	9688	6958
582	9703	6940
583	9720	6923
584	9736	6907
585	9752	6890
586	9768	6873
587	9785	6856
588	9800	6838
589	9818	6823
590	9837	6807
591	9855	6792
592	9871	6775
593	9887	6758
594	9903	6741
595	9920	6724
596	9937	6708
597	9953	6691
598	9968	6673
599	9984	6656
600	10000	6639
601	10016	6622
602	10032	6605
603	10049	6588
604	10064	6571
605	10080	6554
606	10097	6537
607	10112	6520
608	10128	6502
609	10143	6485
610	10158	6467
611	10174	6450
612	10190	6433
613	10206	6416
614	10222	6399
615	10239	6383
616	10255	6366
617	10271	6348
618	10287	6331
619	10302	6314
620	10318	6297
621	10334	6280
622	10350	6263
623	10366	6246
624	10383	6230
625	10399	6213
626	10414	6195
627	10428	6177
628	10443	6159
629	10459	6142
630	10475	6125
631	10491	6108
632	10506	6091
633	10522	6074
634	10537	6057
635	10553	6039
636	10568	6022
637	10584	6005
638	10599	5988
639	10614	5970
640	10630	5953
641	10645	5936
642	10660	5918
643	10676	5901
644	10692	5884
645	10706	5867
646	10722	5849
647	10737	5832
648	10752	5815
649	10767	5797
650	10782	5780
651	10798	5763
652	10816	5747
653	10834	5732
654	10859	5719
655	10876	5703
656	10892	5686
657	10909	5670
658	10925	5653
659	10941	5636
660	10957	5619
661	10973	5602
662	10989	5585
663	11006	5569
664	11022	5552
665	11039	5536
666	11055	5519
667	11072	5503
668	11089	5486
669	11105	5469
670	11121	5453
671	11137	5436
672	11154	5419
673	11171	5403
674	11188	5386
675	11205	5370
676	11221	5353
677	11236	5336
678	11241	5314
679	11257	5297
680	11271	5280
681	11287	5262
682	11302	5246
683	11318	5228
684	11333	5211
685	11349	5194
686	11365	5178
687	11380	5160
688	11394	5143
689	11410	5126
690	11425	5109
691	11440	5092
692	11455	5074
693	11470	5057
694	11485	5040
695	11500	5023
696	11516	5006
697	11532	4989
698	11547	4972
699	11563	4955
700	11578	4938
701	11593	4921
702	11608	4904
703	11624	4887
704	11639	4870
705	11655	4853
706	11670	4836
707	11685	4819
708	11701	4802
709	11715	4785
710	11730	4768
711	11745	4751
712	11761	4734
713	11777	4717
714	11792	4700
715	11807	4683
716	11822	4666
717	11838	4649
718	11856	4633
719	11873	4617
720	11892	4601
721	11910	4586
722	11926	4569
723	11942	4552
724	11959	4536
725	11975	4519
726	11992	4503
727	12009	4486
728	12025	4470
729	12041	4453
730	12057	4436
731	12072	4419
732	12087	4403
733	12102	4385
734	12117	4368
735	12133	4352
736	12149	4335
737	12164	4318
738	12180	4301
739	12195	4284
740	12211	4268
741	12226	4251
742	12241	4234
743	12257	4217
744	12272	4200
745	12287	4183
746	12303	4166
747	12318	4150
748	12333	4133
749	12348	4116
750	12363	4099
751	12378	4082
752	12394	4065
753	12409	4048
754	12425	4032
755	12440	4015
756	12455	3998
757	12471	3981
758	12486	3964
759	12502	3948
760	12517	3931
761	12532	3914
762	12548	3897
763	12563	3881
764	12578	3863
765	12592	3846
766	12607	3830
767	12623	3813
768	12638	3796
769	12652	3779
770	12667	3762
771	12682	3745
772	12699	3729
773	12713	3712
774	12729	3695
775	12744	3678
776	12759	3661
777	12774	3645
778	12789	3628
779	12804	3611
780	12820	3594
781	12837	3578
782	12853	3562
783	12863	3544
784	12878	3527
785	12894	3510
786	12909	3493
787	12925	3477
788	12942	3461
789	12958	3444
790	12973	3427
791	12987	3410
792	13003	3394
793	13018	3377
794	13034	3361
795	13049	3344
796	13065	3327
797	13083	3311
798	13100	3295
799	13117	3279
800	13133	3262
801	13149	3246
802	13164	3229
803	13180	3213
804	13195	3196
805	13211	3179
806	13227	3163
807	13242	3146
808	13257	3130
809	13273	3113
810	13288	3096
811	13304	3080
812	13321	3063
813	13336	3047
814	13352	3030
815	13368	3014
816	13383	2997
817	13398	2981
818	13414	2964
819	13430	2948
820	13446	2931
821	13462	2915
822	13478	2898
823	13494	2882
824	13510	2865
825	13525	2849
826	13541	2832
827	13557	2816
828	13573	2799
829	13588	2783
830	13603	2766
831	13618	2749
832	13634	2733
833	13650	2716
834	13664	2700
835	13680	2683
836	13695	2667
837	13711	2650
838	13727	2634
839	13742	2617
840	13756	2600
841	13771	2584
842	13787	2567
843	13803	2551
844	13819	2534
845	13834	2518
846	13849	2501
847	13865	2485
848	13879	2468
849	13894	2452
850	13912	2435
851	13930	2419
852	13950	2404
853	13968	2388
854	13985	2371
855	14001	2355
856	14017	2338
857	14033	2322
858	14051	2306
859	14068	2290
860	14085	2273
861	14101	2257
862	14118	2241
863	14135	2225
864	14152	2208
865	14167	2192
866	14183	2175
867	14199	2159
868	14216	2143
869	14233	2126
870	14248	2110
871	14264	2093
872	14281	2077
873	14298	2061
874	14315	2045
875	14330	2028
876	14347	2012
877	14364	1995
878	14383	1979
879	14401	1963
880	14419	1947
881	14435	1931
882	14454	1915
883	14474	1899
884	14491	1883
885	14509	1866
886	14525	1850
887	14541	1834
888	14559	1817
889	14576	1801
890	14593	1785
891	14609	1768
892	14626	1752
893	14642	1736
894	14657	1719
895	14673	1703
896	14689	1686
897	14705	1670
898	14721	1653
899	14737	1637
900	14754	1621
901	14769	1604
902	14785	1588
903	14801	1571
904	14818	1555
905	14833	1539
906	14849	1522
907	14865	1506
908	14882	1489
909	14897	1473
910	14914	1457
911	14932	1440
912	14947	1424
913	14963	1407
914	14984	1392
915	15001	1375
916	15018	1359
917	15034	1342
918	15050	1326
919	15067	1310
920	15084	1293
921	15099	1277
922	15116	1261
923	15131	1244
924	15147	1228
925	15162	1211
926	15177	1195
927	15192	1178
928	15208	1162
929	15224	1145
930	15239	1129
931	15254	1113
932	15270	1096
933	15285	1080
934	15300	1063
935	15315	1047
936	15330	1030
937	15346	1014
938	15361	997
939	15377	981
940	15391	965
941	15406	948
942	15421	932
943	15437	915
944	15453	899
945	15468	882
946	15484	866
947	15499	850
948	15515	833
949	15530	817
950	15545	800
951	15560	784
952	15575	768
953	15590	751
954	15606	735
955	15622	719
956	15637	702
957	15652	686
958	15668	669
959	15683	653
960	15700	637
961	15715	620
962	15730	604
963	15745	588
964	15761	571
965	15776	555
966	15791	538
967	15806	522
968	15821	506
969	15837	489
970	15852	473
971	15868	457
972	15883	440
973	15899	424
974	15915	408
975	15932	391
976	15949	375
977	15965	359
978	15994	343
979	16019	326
980	16036	310
981	16052	294
982	16067	277
983	16084	261
984	16100	245
985	16115	228
986	16131	212
987	16146	196
988	16162	179
989	16178	163
990	16195	147
991	16210	130
992	16225	114
993	16240	98
994	16256	81
995	16276	65
996	16294	49
997	16313	32
998	16332	16
999	16350	0
