iter	Logloss
0	0.6736251466
1	0.6539137764
2	0.6359286984
3	0.6167442902
4	0.6000555444
5	0.5823124028
6	0.5654678434
7	0.5502200887
8	0.5351554546
9	0.5202954191
10	0.5062942078
11	0.4936887242
12	0.481099113
13	0.4687671828
14	0.4573641034
15	0.4460115396
16	0.4353487292
17	0.4260097016
18	0.4161118816
19	0.4059454684
20	0.3975223722
21	0.387609201
22	0.3788900844
23	0.3716651222
24	0.3647678753
25	0.357468495
26	0.3507514937
27	0.3429947474
28	0.3365137034
29	0.3294077981
30	0.3228962922
31	0.3169014869
32	0.3107840693
33	0.3053519429
34	0.2997879926
35	0.2942862668
36	0.2891333309
37	0.2837000316
38	0.27954478
39	0.2747803629
40	0.2705228092
41	0.2653318291
42	0.2617094488
43	0.2581642298
44	0.2543266845
45	0.2505977554
46	0.2461112055
47	0.2423248529
48	0.2391617463
49	0.2349055811
50	0.2324340903
51	0.229994549
52	0.2277995634
53	0.2247489195
54	0.2220239817
55	0.2198125748
56	0.2170719608
57	0.2140062953
58	0.2120744467
59	0.2101282034
60	0.2077215943
61	0.205325205
62	0.2027843709
63	0.2008467471
64	0.1990240658
65	0.1973198256
66	0.1947592876
67	0.1930259202
68	0.1910224856
69	0.1894626002
70	0.1874229212
71	0.1855706654
72	0.1843571876
73	0.183000564
74	0.1806928436
75	0.1791470976
76	0.1778146219
77	0.1761319463
78	0.1745429241
79	0.1733179424
80	0.1715995153
81	0.1705354468
82	0.1695415323
83	0.1681900989
84	0.1674631496
85	0.1660226438
86	0.1647377346
87	0.1635141657
88	0.1627425394
89	0.1617088746
90	0.1605664631
91	0.159397425
92	0.1579798998
93	0.1566401895
94	0.1558023526
95	0.1546301188
96	0.1533798462
97	0.1521984911
98	0.1512016219
99	0.1502017279
100	0.1486951498
101	0.1475061268
102	0.1466843357
103	0.1458188651
104	0.1448982012
105	0.1438869735
106	0.1432816726
107	0.1426710684
108	0.1419784508
109	0.1411124616
110	0.1403504495
111	0.1393310604
112	0.1385410556
113	0.1377414995
114	0.1370239998
115	0.1361328311
116	0.135265247
117	0.1344238431
118	0.1334684637
119	0.1324887738
120	0.1317307342
121	0.1309598992
122	0.130353841
123	0.1295014499
124	0.1285327687
125	0.1277955339
